43746 keys processed
0 keys were ill-formed
35047 keys found with no spelling change
4175 keys found after spelling change
4524 records not found yet 
spelling rule AUTO(SE:M/) solved 32 problems
spelling rule AUTO(b/v) solved 120 problems
spelling rule AUTO(rxx) solved 1710 problems
spelling rule AUTO(X:NEGa) solved 155 problems
spelling rule AUTO(X:tva) solved 12 problems
spelling rule AUTO(v/b) solved 264 problems
spelling rule AUTO(q/w) solved 20 problems
spelling rule AUTO(n/R) solved 27 problems
spelling rule AUTO(N/M) solved 250 problems
spelling rule AUTO(X:tA) solved 26 problems
spelling rule AUTO(SE:Ca/Cu) solved 50 problems
spelling rule AUTO(rdD/rD) solved 172 problems
spelling rule AUTO(n/M) solved 265 problems
spelling rule AUTO(l/w) solved 8 problems
spelling rule AUTO(SE:a$/) solved 526 problems
spelling rule AUTO(t/tt) solved 177 problems
spelling rule AUTO(ra/f) solved 10 problems
spelling rule AUTO(Y/M) solved 58 problems
spelling rule AUTO(Vtt/t) solved 73 problems
spelling rule AUTO(a/am) solved 49 problems
spelling rule AUTO(SE:Ca/Ce) solved 26 problems
spelling rule AUTO(X:NEGan) solved 14 problems
spelling rule AUTO(SE:VC/VrC) solved 33 problems
spelling rule AUTO(SE:CA/Co) solved 25 problems
spelling rule AUTO(SE:B/J) solved 3 problems
spelling rule AUTO(cC/C) solved 14 problems
spelling rule AUTO(SE:wu/du) solved 22 problems
spelling rule AUTO(SE:s/m) solved 17 problems
spelling rule AUTO(rbB/rB) solved 9 problems
spelling rule AUTO(SE:Sv/Sc) solved 3 problems
spelling rule AUTO(SE:Ca/CE) solved 5 problems
(nc = 4175)
